,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Under Pressure - Remastered",Queen,1136672,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
55,"I Like It","Cardi B",1135928,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
56,"rockstar (feat. 21 Savage)","Post Malone",1131580,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
57,"Te Boté - Remix","Nio Garcia",1109870,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
58,"Love Someone","Lukas Graham",1087391,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
59,"Ella Quiere Beber - Remix","Anuel Aa",1078382,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
60,Nonstop,Drake,1063203,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
61,"Always Remember Us This Way","Lady Gaga",1056259,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
62,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1047921,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
63,Topanga,"Trippie Redd",1042211,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
64,Imposible,"Luis Fonsi",1014834,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
65,"We Will Rock You - Remastered",Queen,1003376,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
66,"no tears left to cry","Ariana Grande",994027,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
67,"God is a woman","Ariana Grande",985423,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
68,"Beautiful (feat. Camila Cabello)",Bazzi,974842,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
69,Money,"Cardi B",972318,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
70,"Leave Me Alone","Flipp Dinero",970094,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
71,Rise,"Jonas Blue",966168,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
72,"God's Plan",Drake,965738,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
73,"No Stylist","French Montana",960931,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
74,"This Feeling","The Chainsmokers",958308,https://open.spotify.com/track/4edS9dC0JPBlSS4p4gMOT0
75,changes,XXXTENTACION,957342,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
76,"Shape of You","Ed Sheeran",949314,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
77,SOLO,JENNIE,949275,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
78,"Amigos Con Derechos",Reik,946289,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
79,"10 Freaky Girls (with 21 Savage)","Metro Boomin",946119,https://open.spotify.com/track/43lYaovU2FoeuBMNusVVVW
80,"Killer Queen - Remastered 2011",Queen,943696,https://open.spotify.com/track/7GqWnsKhMtEW0nzki5o0d8
81,2002,Anne-Marie,936994,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
82,Shotgun,"George Ezra",919134,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
83,"Body (feat. brando)","Loud Luxury",917916,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
84,"Mala Mía",Maluma,916077,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
85,Believer,"Imagine Dragons",912134,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
86,"Ya No Tiene Novio","Sebastian Yatra",912133,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
87,"Electricity (with Dua Lipa)","Silk City",895439,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
88,"Last Christmas",Wham!,894493,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
89,"No Es Justo","J Balvin",893199,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
90,Culpables,"Karol G",888662,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
91,"Solo (feat. Demi Lovato)","Clean Bandit",887361,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
92,Bubalu,"Becky G",883993,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
93,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,876403,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
94,"Suncity (feat. Empress Of)",Khalid,874346,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN
95,"One Kiss (with Dua Lipa)","Calvin Harris",864608,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
96,"Psycho (feat. Ty Dolla $ign)","Post Malone",855299,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
97,idontwannabeyouanymore,"Billie Eilish",852439,https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH
98,"I Found You (with Calvin Harris)","benny blanco",846843,https://open.spotify.com/track/5sdb5pMhcK44SSLsj1moUh
99,"Beach House","The Chainsmokers",845273,https://open.spotify.com/track/0N8MGHEDAq29ip7RrlrTeN
100,"Fine China",Future,840075,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
101,Perfect,"Ed Sheeran",836707,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
102,IDGAF,"Dua Lipa",812599,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
103,"Waste It On Me (feat. BTS)","Steve Aoki",809212,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr
104,"Calma - Remix","Pedro Capó",798416,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
105,Havana,"Camila Cabello",792297,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
106,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",789083,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
107,"Sin Pijama","Becky G",784708,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
108,"I Fall Apart","Post Malone",777448,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
109,"Lucky You (feat. Joyner Lucas)",Eminem,766313,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
110,Ibiza,Ozuna,761972,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
111,Thunder,"Imagine Dragons",760744,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
112,"Thunderclouds (with Sia, Diplo & Labrinth)",Sia,755875,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
113,FRIENDS,Marshmello,755105,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
114,"New Rules","Dua Lipa",749675,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
115,"REEL IT IN",Aminé,746046,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
116,"ocean eyes","Billie Eilish",745032,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
117,"Quiere Beber","Anuel Aa",739398,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
118,POP/STARS,K/DA,735585,https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ
119,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",732038,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
120,"The Middle",Zedd,729684,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
121,"Asesina - Remix",Brytiago,728264,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
122,Adictiva,"Daddy Yankee",727062,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
123,"Jackie Chan",Tiësto,720679,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
124,"Say You Won't Let Go","James Arthur",715545,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
125,"Santa Tell Me","Ariana Grande",712521,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
126,"Everybody Dies In Their Nightmares",XXXTENTACION,706679,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
127,Desconocidos,"Mau y Ricky",703925,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
128,Noticed,"Lil Mosey",700843,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
129,"Take One","Kodak Black",700467,https://open.spotify.com/track/6fI3tBVND8zUXZi9rr2Yps
130,"Toda - Remix","Alex Rose",696017,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
131,"Don't Come Out The House (with 21 Savage)","Metro Boomin",695548,https://open.spotify.com/track/1m6lqaLvUTxPjOo98fJH8U
132,"Yes Indeed","Lil Baby",694944,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
133,"I Like Me Better",Lauv,692430,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
134,"All Girls Are The Same","Juice WRLD",687583,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
135,1999,"Charli XCX",684204,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8
